LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID5589374,5589374,484,0.9015151262283325,259.8457729749346,738.0052039123582,0.0,2563.0,2563,17.5,1,,104.02609506057782,71.0,0.0,255.0,111620.0,85.28622391719756,0.16076796567451765,0.3378683475742734
ID5589995,5589995,484,0.8744463324546814,258.9212937548245,736.5236089357217,0.0,2564.0,2564,17.5,1,,103.69151910531221,73.0,0.0,255.0,111261.0,85.94903086995782,0.14378802170827973,0.30332584286426684
ID5593095,5593095,484,0.8589644432067871,260.9626402992267,735.107053743892,0.0,2565.0,2565,17.5,1,,99.76887232059646,62.0,0.0,255.0,107052.0,89.25288301886167,0.1200572134193986,0.23963533540169568
ID5590623,5590623,484,0.8429921269416809,259.2839110984071,733.6658239031186,0.0,2566.0,2566,17.5,1,,103.43056849953402,73.0,0.0,255.0,110981.0,84.51823015701584,0.1335339665009088,0.2883272729720129
ID5591249,5591249,484,0.8318158388137817,259.55438731236535,732.0651429598317,0.0,2567.0,2567,17.5,1,,103.01584342963653,73.0,0.0,255.0,110536.0,85.67482742744029,0.11983580772050058,0.2573434015325291
ID5592482,5592482,484,0.939916729927063,266.68160673964076,731.1875336319562,0.0,2568.0,2568,17.5,1,,111.3578751164958,79.0,0.0,255.0,119487.0,87.0907410639203,0.16445464285845451,0.3611623806504334
ID5593715,5593715,484,0.9966714382171631,266.69933147219217,732.4688386031714,0.0,2569.0,2569,17.5,1,,106.87698042870457,70.0,0.0,255.0,114679.0,89.17754260910712,0.18710231060677493,0.3777893151243136
ID5594962,5594962,484,0.9193893671035767,265.6446338582101,730.08175121837,0.0,2570.0,2570,17.5,1,,105.6178937558248,73.0,0.0,255.0,113328.0,87.11055837846173,0.1498272774732869,0.31597664341092957
ID5595570,5595570,484,0.8961940407752991,267.19566307970246,729.4992273177196,0.0,2571.0,2571,17.5,1,,107.34855545200372,72.0,0.0,255.0,115185.0,87.08174899315047,0.1443387194954851,0.31097631472758885
ID5594345,5594345,484,0.8862196803092957,264.00679460241224,734.5604967131969,0.0,2572.0,2572,17.5,1,,104.98974836905872,74.0,0.0,255.0,112654.0,85.53466003000104,0.14492138102286534,0.310735988741854
ID5596201,5596201,484,0.8463735580444336,264.68564393524974,738.5361248269269,0.0,2573.0,2573,17.5,1,,104.54054054054055,78.0,0.0,255.0,112172.0,83.86327540273338,0.1353469888450874,0.2972096472873073
ID5596825,5596825,484,0.8828943967819214,265.96505440015954,742.8223330057795,0.0,2574.0,2574,17.5,1,,103.38769804287045,74.0,0.0,255.0,110935.0,85.68552968719005,0.1430806857672843,0.3020615884826622
ID5598073,5598073,484,0.8999354839324951,261.58232020122307,747.0550103726115,0.0,2575.0,2575,17.5,1,,103.20316868592731,70.0,0.0,255.0,110737.0,88.01160513934362,0.1403516357618778,0.28864349503731485
ID5597452,5597452,484,0.8958224058151245,262.0673143002149,747.0136936734793,0.0,2576.0,2576,17.5,1,,104.81826654240447,71.0,0.0,255.0,112470.0,87.64192946501458,0.1402610188001878,0.29423054088388506
ID5598685,5598685,484,0.8239209651947021,259.14829892189516,744.7121743614962,0.0,2577.0,2577,17.5,1,,98.72972972972973,64.0,0.0,255.0,105937.0,86.62546774454052,0.11250290641418163,0.23051274323862733
ID5599300,5599300,484,0.867175281047821,255.93882165726887,746.5292935162003,0.0,2578.0,2578,17.5,1,,104.51444547996272,81.0,0.0,255.0,112144.0,85.46614950323674,0.14001398708651386,0.3003816656899348
ID5599923,5599923,484,0.8487260341644287,254.45676838414875,747.761012912346,0.0,2579.0,2579,17.5,1,,103.48275862068965,72.0,0.0,255.0,111037.0,87.17711176830484,0.12352301350969692,0.26101256971535214
ID5601011,5601011,484,0.8482142090797424,254.68780235446812,747.9358819575049,0.0,2580.0,2580,17.5,1,,101.1780055917987,73.0,0.0,255.0,108564.0,87.24928366966347,0.1283474728312253,0.26381452391581467
ID5601755,5601755,484,0.8745496869087219,257.29189075362734,749.3883866223136,0.0,2581.0,2581,17.5,1,,103.43056849953402,75.0,0.0,255.0,110981.0,88.28543577041923,0.12973368135847813,0.26907076131729746
ID5602379,5602379,484,0.8772382736206055,257.9849918640665,754.1462183969504,0.0,2582.0,2582,17.5,1,,104.3821062441752,75.0,0.0,255.0,112002.0,85.15370944212341,0.13617949469799864,0.2938442870656807
ID5600960,5600960,484,0.8613855838775635,258.1073098539318,753.9433777918211,0.0,2583.0,2583,17.5,1,,101.60950605778191,70.0,0.0,255.0,109027.0,86.26503428906645,0.12113953839810358,0.2545398490601549
ID5604223,5604223,484,0.8844133019447327,259.19499278079115,759.0370231284992,0.0,2584.0,2584,17.5,1,,105.76048462255359,72.0,0.0,255.0,113481.0,84.28762858569912,0.14297332692012113,0.31391243532759333
ID5603614,5603614,484,0.8673756718635559,258.1219223254458,756.8965193367126,0.0,2585.0,2585,17.5,1,,103.65703634669151,71.0,0.0,255.0,111224.0,83.9570329728938,0.13667454073285756,0.296908883325909
ID5602997,5602997,484,0.8937959671020508,256.92202876446174,753.0000263884401,0.0,2586.0,2586,17.5,1,,104.15191053122088,74.0,0.0,255.0,111755.0,89.0895294207452,0.1312825022203786,0.2713353309136046
ID5604825,5604825,484,0.9102805256843567,255.72605369018916,755.9280046132337,0.0,2587.0,2587,17.5,1,,106.24044734389562,76.0,0.0,255.0,113996.0,86.10141302657462,0.146343532534864,0.3150419279673738
ID5605439,5605439,484,0.9347964525222778,260.34803352744126,757.3339511862458,0.0,2588.0,2588,17.5,1,,113.64864864864865,82.0,0.0,255.0,121945.0,83.00889259895139,0.17637095286222498,0.41053710984359915
ID5606060,5606060,484,0.8869799375534058,265.2519575873235,760.0569920231179,0.0,2589.0,2589,17.5,1,,108.4641192917055,81.0,0.0,255.0,116382.0,83.55246178273782,0.1475833028046083,0.3338949449649427
ID5607284,5607284,484,0.9129193425178528,265.79690187543474,765.0392154006839,0.0,2590.0,2590,17.5,1,,105.99161230195713,71.0,0.0,255.0,113729.0,89.23306585297416,0.12958441129966336,0.2725271341571268
ID5606674,5606674,484,0.8656843304634094,266.8820666209992,767.2250728342455,0.0,2591.0,2591,17.5,1,,106.79123951537744,74.0,0.0,255.0,114587.0,87.53055563316703,0.11633374977677867,0.2542831658270847
ID5607899,5607899,484,0.8920149803161621,266.84304845104583,765.6007622837354,0.0,2592.0,2592,17.5,1,,109.69617893755824,77.0,0.0,255.0,117704.0,86.13535509707523,0.13029313798845196,0.2936097680734443
ID5608528,5608528,484,0.9083304405212402,267.10000907648566,770.695604150577,0.0,2593.0,2593,17.5,1,,108.48462255358807,73.0,0.0,255.0,116404.0,85.34015561681123,0.14259306429350657,0.317286479552388
ID5609162,5609162,484,0.9077061414718628,269.78027872798594,770.2389932454817,0.0,2594.0,2594,17.5,1,,107.63466915191053,71.0,0.0,255.0,115492.0,86.81041054515394,0.13365851903599102,0.2923645786100823
ID5609764,5609764,484,0.919736921787262,271.4787110773936,767.8436940910008,0.0,2595.0,2595,17.5,1,,110.87138863000932,77.0,0.0,255.0,118965.0,84.7206683911361,0.1565252124542952,0.354233235768111
ID5610375,5610375,484,0.9124602675437927,275.6366922046248,765.7816702996315,0.0,2596.0,2596,17.5,1,,109.59739049394221,79.0,0.0,255.0,117598.0,84.87617227496614,0.16350241080299593,0.36291197337927766
